neighbourhood,listing_count,avg_price,median_price,avg_reviews,pct_entire_home,avg_availability_365,avg_minimum_nights
Downtown,1168,208.11,183.0,53.18,92.89,203.32,41.31
Kitsilano,322,227.19,170.5,66.09,82.61,188.77,36.37
Mount Pleasant,299,150.7,120.0,52.07,70.9,222.83,56.42
Downtown Eastside,298,198.76,167.0,75.38,93.62,194.64,23.14
Hastings-Sunrise,269,143.41,110.0,57.71,68.4,232.36,33.99
Kensington-Cedar Cottage,249,151.34,118.0,88.4,81.93,187.24,19.01
West End,248,184.61,143.0,36.85,89.11,222.7,67.84
Riley Park,189,175.08,141.0,93.84,85.19,183.4,20.43
Renfrew-Collingwood,181,131.7,110.0,69.87,75.14,195.21,20.91
Dunbar Southlands,175,165.38,129.0,45.18,56.0,170.48,18.4
Grandview-Woodland,162,168.94,133.0,119.05,79.63,175.41,29.64
Marpole,154,131.31,103.0,52.52,54.55,217.66,34.66
Victoria-Fraserview,126,122.37,106.5,45.06,72.22,202.98,12.16
Sunset,119,141.61,112.0,47.56,83.19,195.74,17.52
Arbutus Ridge,111,209.85,143.0,54.04,60.36,207.75,13.16
Fairview,107,161.37,115.0,25.02,92.52,203.69,72.78
West Point Grey,107,137.8,95.0,37.64,49.53,220.61,35.07
Shaughnessy,71,180.21,125.0,29.59,40.85,181.79,15.86
Oakridge,66,169.33,112.0,37.53,60.61,179.88,22.62
Kerrisdale,63,168.7,107.0,44.03,50.79,201.56,12.83
Killarney,46,123.33,106.0,56.96,76.09,188.8,15.15
South Cambie,35,202.11,167.0,88.4,80.0,148.06,28.8
Strathcona,15,130.53,107.0,154.93,93.33,165.13,31.4
